"ID";"№ реестра";"Наименование";"Обозначение типа";"Модификация";"Зав. номер";"Дата поверки";"Действ. до";"Пригоден";"Поверитель";"№ документа";"Производитель";"Время сохранения";"Поисковый запрос";"№ строки";"Id_ПУ";"Номер договора";"Код ЭДО";"Балансовая принадлежность";"Эксплуатационная ответственность";"МПИ"
"1-424276805";"12260-90";"Счетчики электрической энергии однофазные индукционные";"СО-И449М1, СО-И449М2 (ЗАО ""Вымпелэнерго"" только СО-И449М2)";"СО-И449М";"033557";"09.04.2025";"";"";"ООО ""ЭНЕРГОПРОМРЕСУРС""";"И-ДЛВ/09-04-2025/424276805";"Другие";"2026-03-04 11:43:10";"033557";"77";"0142754455";"";"";"Не задано";"";"16.0"
"1-289109134";"23345-07";"Счетчики электрической энергии трехфазные статические";"""Меркурий 230""";"Меркурий 230 ART2-03 PQRSIDN";"15732692";"16.10.2023";"15.10.2033";"1";"ООО ""НПК""";"С-ГЕП/16-10-2023/289109134";"Меркурий (Инкотекс)";"2026-03-04 11:43:18";"15732692";"78";"0148931305";"";"";"Не задано";"";"8.0"
"2-67496348";"33334-09";"Счетчики электрической энергии электронные НЕВА";"";"НЕВА 303 1S0  220V 5(60)А";"024992";"29.05.2014";"29.05.2030";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:43:33";"024992";"80";"0150163998";"";"";"Не задано";"";"16.0"
"2-67722450";"33334-09";"Счетчики электрической энергии электронные НЕВА";"";"НЕВА 102 1S0 220V 5(40)А 50Hz";"024992";"14.07.2014";"14.07.2030";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:43:33";"024992";"80";"0150163998";"";"";"Не задано";"";"16.0"
"2-67415671";"33334-09";"Счетчики электрической энергии электронные НЕВА";"";"НЕВА 303 1S0  220V 5(100)А";"024992";"16.05.2014";"16.05.2030";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:43:33";"024992";"80";"0150163998";"";"";"Не задано";"";"16.0"
"2-66872543";"40300-08";"Счетчики электрической энергии однофазные многотарифные НЕВА МТ 1";"";"НЕВА МТ 113 AS OP 5(100)A";"024992";"23.01.2014";"23.01.2030";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:43:33";"024992";"80";"0150163998";"";"";"Не задано";"";"16.0"
"2-85839038";"58383-14";"Счетчик электрической энергии электронный однофазный НЕВА 1";"";"НЕВА 101 1S0 220V 5(60)А 50Hz";"024992";"15.01.2015";"15.01.2031";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:43:33";"024992";"80";"0150163998";"";"";"Не задано";"";"16.0"
"2-85982864";"58383-14";"Счетчик электрической энергии электронный однофазный НЕВА 1";"";"НЕВА 103 1S0 220V 5(60)A (5din)";"024992";"12.01.2015";"12.01.2031";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:43:33";"024992";"80";"0150163998";"";"";"Не задано";"";"16.0"
"2-72166879";"47430-11";"Счетчики электрической энергии трехфазные многотарифные НЕВА МТ 3";"";"НЕВА МТ 324 1.0 AR E4S 230V 5(60)А";"024992";"23.10.2015";"23.10.2027";"1";"ООО ""Тайпит-ИП""";"нет                                                             ";"Нева (Тайпит)";"2026-03-04 11:43:33";"024992";"80";"0150163998";"";"";"Не задано";"";"16.0"
"2-81348080";"58383-14";"Счетчик электрической энергии электронный однофазный НЕВА 1";"";"НЕВА 106/5 1S0 230V 5(60)A";"024992";"28.04.2015";"28.04.2031";"1";"ООО ""Тайпит-ИП""";"нет";"Нева (Тайпит)";"2026-03-04 11:43:33";"024992";"80";"0150163998";"";"";"Не задано";"";"16.0"
